,Metric,Value,Lagged
92,"('Intraday_HL', 'CNY')",-0.04183810032112924,-0.034945103976393624
93,"('Intraday_HL', 'HKD')",-0.0005222816744292196,0.005005784109364785
94,"('Intraday_HL', 'IDR')",-0.05377657826793624,-0.03386213776338194
95,"('Intraday_HL', 'INR')",-0.04498793533698635,-0.03401476230796964
96,"('Intraday_HL', 'JPY')",0.0040798011507566755,0.0006566290109480222
97,"('Intraday_HL', 'KRW')",-0.01682565544867589,-0.05266276903373536
98,"('Intraday_HL', 'LKR')",-0.05365415838611011,-0.06777594777971067
99,"('Intraday_HL', 'MNT')",0.016645048055045904,0.023652150723089835
100,"('Intraday_HL', 'MYR')",-0.002576540919094474,-0.01846207193991729
101,"('Intraday_HL', 'NZD')",-0.004155352597307367,-0.03631096928749961
102,"('Intraday_HL', 'PHP')",0.049681100911713495,0.05198170489206377
103,"('Intraday_HL', 'PKR')",-0.012513167912535851,0.011158944011701404
104,"('Intraday_HL', 'SGD')",-0.03644040809268142,-0.05912615370217755
105,"('Intraday_HL', 'THB')",-0.014853481241950005,-0.04469644587634119
106,"('Intraday_HL', 'TWD')",0.007660179589326306,-0.009577208897623937
107,"('Intraday_HL', 'VND')",0.04720077790890217,0.039655947536964636
108,"('Prev_close_open', 'AUD')",-0.0029895436710718477,-0.0023863378678730647
109,"('Prev_close_open', 'BDT')",-0.03330033797283072,-0.047741804838394984
110,"('Prev_close_open', 'CNY')",-0.024916039513832405,0.0007234903408034154
111,"('Prev_close_open', 'HKD')",0.006240454099515436,0.016249343737028264
112,"('Prev_close_open', 'IDR')",0.022983369911663956,0.005982431490495063
113,"('Prev_close_open', 'INR')",-0.06839813969155505,-0.017657354329253902
114,"('Prev_close_open', 'JPY')",-0.012283526138397885,0.0387095198920286
115,"('Prev_close_open', 'KRW')",-0.044605193584027765,-0.006839383350867825
116,"('Prev_close_open', 'LKR')",2.512722540174749e-05,-0.033828664368838676
117,"('Prev_close_open', 'MNT')",-0.001016787417963932,-0.015879964254949478
118,"('Prev_close_open', 'MYR')",-0.06292043191055202,-0.04706474590903323
119,"('Prev_close_open', 'NZD')",-0.023996105195481635,-0.0054459531852387695
120,"('Prev_close_open', 'PHP')",0.014107057747213728,0.01602658634518078
121,"('Prev_close_open', 'PKR')",-0.015826812101451686,-0.02245919241169079
122,"('Prev_close_open', 'SGD')",-0.03781518223128221,-0.011410873889245313
123,"('Prev_close_open', 'THB')",0.002798258946977963,-0.0006942122843412837
124,"('Prev_close_open', 'TWD')",0.0276342709909365,-0.017586482367768975
125,"('Prev_close_open', 'VND')",0.01909545161580155,-0.006603608975153509
126,"('Open_Ret', 'AUD')",-0.04475786856058138,-0.028393552415933578
127,"('Open_Ret', 'BDT')",0.0030193356179676624,-0.023072984060047225
128,"('Open_Ret', 'CNY')",-0.02650988195722276,-0.023333275269204493
129,"('Open_Ret', 'HKD')",-0.038894640634151136,-0.04755358699951869
130,"('Open_Ret', 'IDR')",0.04664060116729082,-0.004396533277457421
131,"('Open_Ret', 'INR')",-0.030245956144867605,-0.05924385728641728
132,"('Open_Ret', 'JPY')",0.021398321886161246,0.006181739067112847
133,"('Open_Ret', 'KRW')",-0.019808109522020008,-0.03250813018327622
134,"('Open_Ret', 'LKR')",-0.04923016521989052,-0.09853994156845776
135,"('Open_Ret', 'MNT')",0.003863886875626771,-0.01460490649878161
136,"('Open_Ret', 'MYR')",-0.05497411319018976,-0.05714393233430692
137,"('Open_Ret', 'NZD')",-0.03889959289477493,-0.029794949549881867
138,"('Open_Ret', 'PHP')",-0.04602837782720929,-0.04654240873113688
139,"('Open_Ret', 'PKR')",-0.007889758486900626,-0.028191057725542375
140,"('Open_Ret', 'SGD')",-0.043677621734456384,-0.02293151406621172
141,"('Open_Ret', 'THB')",-0.02482767129015538,-0.0373112694183472
142,"('Open_Ret', 'TWD')",0.0051130619094032215,-0.046675685914463055
143,"('Open_Ret', 'VND')",0.08247707666216827,0.01400919344192025
144,"('High_Ret', 'AUD')",-0.043104672673013995,-0.05086056649034546
145,"('High_Ret', 'BDT')",-0.04985056707233516,-0.026267803486406834
146,"('High_Ret', 'CNY')",-0.03839273711479361,-0.03298364868655674
147,"('High_Ret', 'HKD')",-0.045421638729880726,-0.04213121807638155
148,"('High_Ret', 'IDR')",0.03317079163234598,-0.035045637046278943
149,"('High_Ret', 'INR')",-0.06518819975143673,-0.04568609679765388
150,"('High_Ret', 'JPY')",0.030220791436898667,0.003962087484789894
151,"('High_Ret', 'KRW')",-0.03452513904494307,-0.053730824682004553
152,"('High_Ret', 'LKR')",-0.07528585868146863,-0.06846286902911898
153,"('High_Ret', 'MNT')",0.020987464981308684,-0.015684723679531845
154,"('High_Ret', 'MYR')",-0.054980854761375014,-0.07123365881746169
155,"('High_Ret', 'NZD')",-0.034175448923021295,-0.07342924712004958
156,"('High_Ret', 'PHP')",-0.052139544117414185,-0.05743569228942673
157,"('High_Ret', 'PKR')",-0.05167102986127349,0.00987998866311937
158,"('High_Ret', 'SGD')",-0.01970339789015135,-0.05899672721761265
159,"('High_Ret', 'THB')",-0.007412974947027158,-0.08042526431739146
160,"('High_Ret', 'TWD')",-0.015207528735998583,-0.04122303354485666
161,"('High_Ret', 'VND')",0.04509737128765495,0.04888073071236302
162,"('Low_Ret', 'AUD')",-0.062245193299602715,-0.04515259937276904
163,"('Low_Ret', 'BDT')",0.021147232807107393,-0.006070246328574099
164,"('Low_Ret', 'CNY')",-0.04819096795094211,-0.03776617106052895
