,BDT30,BDT35,BDT40,BDT45,BDT50,MNT30,MNT35,MNT40,MNT45,MNT50,"('PKR', 'Karachi 100')30","('PKR', 'Karachi 100')35","('PKR', 'Karachi 100')40","('PKR', 'Karachi 100')45","('PKR', 'Karachi 100')50","('LKR', 'CSE All-Share')30","('LKR', 'CSE All-Share')35","('LKR', 'CSE All-Share')40","('LKR', 'CSE All-Share')45","('LKR', 'CSE All-Share')50"
0,66.6283084004603,66.47487533563483,66.89681626390487,66.78174146528578,67.08860759493672,,,,,,,,,,,,,,,
1,65.78442654392022,65.97621787495204,65.78442654392022,66.32144227080936,66.47487533563483,,,,,,,,,,,,,,,
2,63.98158803222095,64.67203682393557,65.01726121979287,64.51860375911009,65.0939777522056,,,,,,,,,,,,,,,
3,,,,,,65.86114307633295,65.74606827771385,66.05293440736479,66.01457614115841,65.55427694668201,,,,,,,,,,
4,,,,,,66.12965093977752,65.78442654392022,66.01457614115841,65.93785960874568,65.55427694668201,,,,,,,,,,
5,,,,,,64.91022638563622,65.41764246682278,65.65183450429352,65.33957845433255,65.33957845433255,,,,,,,,,,
6,,,,,,,,,,,54.50709627924818,54.62217107786728,55.082470272343684,55.58112773302647,55.12082853855006,,,,,
7,,,,,,,,,,,54.58381281166091,55.044112006137325,55.197545070962796,55.46605293440736,55.50441120061373,,,,,
8,,,,,,,,,,,54.50709627924818,54.62217107786728,55.082470272343684,55.58112773302647,55.12082853855006,,,,,
9,,,,,,,,,,,,,,,,56.80859225163023,56.19485999232835,56.309934790947445,56.118143459915615,55.46605293440736
10,,,,,,,,,,,,,,,,53.144266337854496,53.144266337854496,54.747225647348955,53.39087546239211,54.37731196054254
11,,,,,,,,,,,,,,,,56.31001371742113,56.44718792866941,56.99588477366255,55.89849108367627,56.24142661179698
