,30,35,40,45,50
0,67.35711545838127,67.35711545838127,67.54890678941312,67.20368239355581,67.39547372458765
1,65.36248561565017,65.97621787495204,65.89950134253931,65.55427694668201,66.01457614115841
2,65.86114307633295,66.28308400460298,66.6283084004603,66.7433831990794,67.39547372458765
3,66.28308400460298,66.85845799769851,67.43383199079402,67.58726505561948,66.93517453011124
4,66.58995013425393,67.12696586114308,67.24204065976218,66.9735327963176,67.08860759493672
5,65.807962529274,66.39344262295081,66.86182669789227,66.0031225604996,65.88602654176424
6,54.92903720751821,55.00575373993095,55.00575373993095,55.7729190640583,54.85232067510548
7,54.43037974683544,54.085155350978134,54.66052934407365,54.50709627924818,55.50441120061373
8,54.92903720751821,55.00575373993095,55.00575373993095,55.7729190640583,54.85232067510548
9,55.92635212888377,55.84963559647104,54.96739547372459,54.62217107786728,53.70157268891445
10,55.980271270036994,54.37731196054254,54.25400739827374,53.0209617755857,52.651048088779284
11,56.37860082304527,56.44718792866941,56.65294924554184,54.458161865569274,55.07544581618655
