,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open
Currency,AUD,BDT,CNY,HKD,IDR,INR,JPY,KRW,LKR,MNT,MYR,NZD,PHP,PKR,SGD,THB,TWD,VND,AUD,BDT,CNY,HKD,IDR,INR,JPY,KRW,LKR,MNT,MYR,NZD,PHP,PKR,SGD,THB,TWD,VND,AUD,BDT,CNY,HKD,IDR,INR,JPY,KRW,LKR,MNT,MYR,NZD,PHP,PKR,SGD,THB,TWD,VND,AUD,BDT,CNY,HKD,IDR,INR,JPY,KRW,LKR,MNT,MYR,NZD,PHP,PKR,SGD,THB,TWD,VND
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-01-16,1.4857,68.375,6.8374,7.7584,,48.645,90.93,1353.0,113.9,1356.5,3.5775,1.8283,47.125,79.2,1.4857,34.98,33.355,17478.5,1.5093,68.795,6.8399,7.7614,,49.005,90.93,1383.9,114.0,1377.5,3.5895,1.8623,47.525,79.6,1.4946,35.16,33.375,17480.5,1.4708,68.25,6.832999999999999,7.7567,,48.505,89.85,1353.0,113.72,1327.5,3.5725,1.8077,47.0,77.6,1.4857,34.98,33.25,17420.0,1.5083,68.3,6.8355,7.7599,,48.655,89.99,1374.4,113.8,1362.5,3.5895,1.8598,47.15,78.4,1.494,35.13,33.29,17475.0
2009-01-19,1.4916,68.275,6.8355,7.757999999999999,,48.525,90.65,1360.5,113.9,1350.5,3.5805,1.8391,47.13,79.385,1.4988,35.2,33.528,17472.5,1.4971,68.975,6.8388,7.7601,,48.82,91.26,1374.4,114.0,1387.5,3.5825,1.8459,47.34,80.425,1.4988,35.21,33.533,17536.5,1.4605,68.15,6.8314,7.757000000000001,,48.275,90.16,1340.3,113.75,1350.5,3.5635,1.8025,46.85,78.0,1.4813,35.1,33.338,17415.0,1.4782,68.85,6.8359,7.7582,,48.475,91.23,1353.4,113.75,1359.1,3.5725,1.8152,46.85,79.1,1.4837,35.12,33.403,17475.0
2009-01-20,1.5438,68.275,6.841,7.7587,,49.05,89.84,1370.0,113.92,1350.5,3.6105,1.9240000000000002,47.26,79.15,1.5106,35.22,33.75,17472.5,1.5457,69.045,6.8426,7.7603,,49.28,90.99,1387.1,114.0,1393.0,3.6165,1.9295,47.5,80.3,1.5115,35.28,33.75,17538.5,1.4952,68.15,6.8339,7.7557,,48.22,89.69,1357.5,113.75,1350.5,3.5825,1.8508,46.95,78.0,1.4973,35.16,33.47,17415.0,1.4957,68.15,6.8342,7.7578,,48.46,90.66,1370.8,113.8,1382.2,3.5825,1.8539,47.32,78.8,1.4973,35.22,33.56,17470.0
2009-01-21,1.5054,68.025,6.8397,7.7599,,49.05,89.08,1370.0,113.9,1350.5,3.6165,1.8702,47.5,79.3,1.4988,35.22,33.585,17520.0,1.5493,68.975,6.8422,7.7605,,49.37,90.18,1385.4,114.0,1399.5,3.6255,1.936,47.7,80.85,1.5125,35.24,33.795,17570.0,1.5047,67.65,6.8317,7.7568,,48.69,87.14,1363.4,113.75,1350.5,3.6075,1.8625,47.0,78.25,1.4959,35.18,33.475,17430.0,1.537,68.15,6.8405,7.7584,,48.93,89.84,1371.9,113.75,1350.5,3.6125,1.9131,47.63,79.05,1.5104,35.22,33.605,17480.0
2009-01-22,1.525,68.325,6.8375,7.7595,,49.01,89.15,1374.3,113.82,1367.5,3.6082,1.8945,47.35,79.775,1.5038,35.15,33.635,17472.5,1.541,69.275,6.8395,7.7601,,49.21,89.57,1379.2,114.1,1393.5,3.6162,1.9159,47.52,80.275,1.5038,35.22,33.575,17539.5,1.5051,67.9,6.8344,7.7575,,48.63,88.09,1360.1,113.7,1350.5,3.6022,1.8678,47.03,79.2,1.4925,35.15,33.455,17415.0,1.5074,68.85,6.8365,7.7598,,48.86,89.09,1368.3,113.75,1382.5,3.6113,1.8727,47.35,79.2,1.4988,35.22,33.575,17475.0
2009-01-23,1.5254,68.325,6.8397,7.7557,,49.075,89.62,1390.9,114.0,1387.5,3.6255,1.8818,47.35,79.05,1.5112,35.14,33.645,17477.0,1.558,68.425,6.8565,7.7599,,49.325,89.62,1398.5,114.07,1397.5,3.6275,1.9345,47.48,79.94,1.5112,35.22,33.687,17486.0,1.5175,68.2,6.8327,7.755,,48.715,88.01,1375.0,113.72,1367.5,3.6105,1.8769,47.23,78.8,1.4973,35.14,33.495,17420.0,1.5258,68.2,6.8345,7.7587,,48.875,89.15,1375.0,113.8,1367.5,3.6125,1.8972,47.4,79.7,1.4988,35.16,33.605,17480.0
2009-01-26,1.5171,68.325,6.8397,7.7582,,48.525,89.28,1390.9,113.9,1385.5,3.6260000000000003,1.8979,47.26,79.065,1.5019999999999998,35.19,33.655,17477.0,1.5398,68.975,6.8397,7.7601,,48.825,89.7,1390.9,114.1,1402.5,3.6260000000000003,1.9179,47.37,79.315,1.5032,35.19,33.685,17477.0,1.5047,68.2,6.8397,7.7545,,48.525,88.74,1390.9,113.8,1372.5,3.6260000000000003,1.8709,47.12,78.3,1.4961,35.16,33.655,17472.0,1.5237,68.2,6.8397,7.7563,,48.825,89.37,1390.9,113.85,1387.5,3.6260000000000003,1.8864,47.32,78.95,1.4984,35.17,33.685,17472.0
2009-01-27,1.5090000000000001,68.9,6.8397,7.7591,,48.7,89.35,1391.0,113.9,1404.0,3.6255,1.8868,47.025,78.95,1.4999,35.14,33.655,17477.0,1.5218,69.5,6.8397,7.7603,,49.06,90.09,1391.0,114.08,1427.0,3.6255,1.9051,47.355,79.1,1.5082,35.22,33.685,17477.0,1.4877,68.2,6.8397,7.7555,,48.44,88.45,1391.0,113.8,1391.3,3.6255,1.8695,46.6,78.4,1.4956,35.14,33.685,17422.0,1.5152,68.2,6.8397,7.7577,,48.46,89.29,1391.0,113.8,1404.0,3.6255,1.8975,47.02,78.95,1.5017,35.18,33.685,17422.0
2009-01-28,1.5027,68.425,6.8397,7.7572,,48.67,90.5,1373.0,113.92,1392.5,3.5865,1.9084,46.5,78.6,1.4974,35.15,33.665,17477.0,1.5165,68.975,6.8397,7.7598,,48.935,90.77,1402.0,114.1,1402.5,3.6215,1.9279,47.14,79.2,1.5038,35.2,33.677,17477.0,1.485,68.3,6.8397,7.756,,48.51,88.95,1373.0,113.8,1369.5,3.5845,1.8587,46.0,78.3,1.4974,35.15,33.675,17422.0,1.5126,68.3,6.8397,7.7578,,48.59,89.35,1402.0,113.9,1385.5,3.6215,1.89,46.93,78.85,1.4999,35.16,33.677,17422.0
2009-01-29,1.5317,68.9,6.8397,7.7565,,48.77,89.94,1374.5,113.98,1405.0,3.5989999999999998,1.9484,46.51,79.0,1.5097,35.21,33.655,17477.0,1.5348,69.45,6.8397,7.7588,,49.06,90.68,1383.9,114.1,1428.0,3.6045,1.9526,47.25,79.47,1.5097,35.21,33.687,17477.0,1.4961,68.0,6.8397,7.7554,,48.39,89.49,1360.4,113.8,1382.7,3.59,1.9004,46.46,78.4,1.5006,35.16,33.64,17422.0,1.5019999999999998,68.3,6.8397,7.7569,,48.53,90.51,1372.5,113.98,1405.0,3.59,1.9066,46.85,78.5,1.5006,35.17,33.687,17422.0
2009-01-30,1.5747,68.775,6.835,7.7538,,48.85,90.09,1381.5,113.92,1407.5,3.6075,1.9687,46.475,79.05,1.5123,35.25,33.75,17484.5,1.5764,68.775,6.835,7.7573,,49.15,90.09,1388.4,114.13,1407.5,3.6145,1.9824,47.395,79.2,1.5123,35.25,33.75,17533.5,1.5312,68.3,6.835,7.752999999999999,,48.48,89.18,1371.4,113.8,1382.5,3.6025,1.9417,46.43,78.35,1.5057,35.18,33.68,17422.0,1.5319,68.3,6.835,7.7558,,48.63,89.94,1376.5,113.95,1392.5,3.6025,1.9444,47.365,78.55,1.5086,35.2,33.68,17475.0
2009-02-02,1.5839,68.725,6.8475,7.7538,,48.68,89.4,1392.5,114.0,1417.5,3.6155,1.9798,46.97,79.075,1.5144,35.27,33.755,17484.5,1.6011,69.055,6.8525,7.7572,,49.13,90.0,1397.9,114.1,1442.5,3.6155,2.0149,47.775,80.125,1.5175,35.27,33.895,17536.5,1.5676,68.3,6.8405,7.752999999999999,,48.45,88.83,1387.0,113.85,1400.5,3.6125,1.9619,46.83,78.35,1.5130000000000001,35.21,33.695,17434.0,1.5726,68.3,6.8435,7.7538,,48.66,89.56,1387.4,113.98,1403.7,3.6125,1.9689,47.52,78.95,1.5168,35.24,33.815,17480.0
2009-02-03,1.5341,68.375,6.8405,7.7527,,48.51,89.39,1396.0,113.98,1417.5,3.6195,1.9469999999999998,47.085,78.95,1.5067,35.25,33.75,17484.5,1.5887,68.975,6.8474,7.7549,,48.885,89.99,1401.5,114.1,1460.5,3.6365,1.9967,47.755,79.25,1.5165,35.27,33.86,17575.5,1.527,68.0,6.8367,7.7514,,48.37,88.61,1380.5,113.85,1391.5,3.6165,1.9387,46.66,78.2,1.5034,35.17,33.59,17426.0,1.5828,68.6,6.8446,7.7535,,48.53,89.39,1398.4,114.0,1417.5,3.6225,1.9822,47.65,78.2,1.5143,35.27,33.83,17482.0
2009-02-04,1.5552,68.9,6.834,7.7534,,48.715,89.47,1378.6,113.98,1445.0,3.6265,1.9747,47.26,79.075,1.5111,35.22,33.667,17484.5,1.5738,69.52,6.8403,7.7553,,48.865,89.79,1388.2,113.98,1479.0,3.6275,1.9916,47.54,79.525,1.5115,35.25,33.778,17537.5,1.5288,68.3,6.8260000000000005,7.752000000000001,,48.215,88.84,1370.0,113.88,1425.0,3.6075,1.9391,46.84,78.15,1.5017,35.15,33.568000000000005,17434.0,1.5359,68.3,6.8389999999999995,7.752999999999999,,48.435,89.4,1388.2,113.88,1425.0,3.6125,1.9467,47.5,78.85,1.5068,35.25,33.778,17487.0
2009-02-05,1.5336,68.425,6.836,7.7536,,48.65,91.19,1375.0,113.95,1502.5,3.6146,1.9356,47.345,78.35,1.5031,35.24,33.645,17484.5,1.5624,69.045,6.8383,7.7549,,48.91,92.28,1389.9,114.15,1502.5,3.6269,1.9804,47.725,78.8,1.5116,35.51,33.718,17538.5,1.5188,68.3,6.8246,7.7517,,48.31,89.23,1373.9,113.85,1437.5,3.6105,1.9179,47.26,78.25,1.5031,35.13,33.595,17434.0,1.5494,68.3,6.8315,7.7526,,48.51,89.46,1387.0,114.0,1437.5,3.6260000000000003,1.9631,47.6,78.7,1.511,35.22,33.615,17487.0
2009-02-06,1.4794,68.625,6.8344,7.7528,,48.63,92.23,1370.2,114.07,1497.5,3.5989999999999998,1.8796,47.125,79.22,1.4943,35.34,33.62,17484.5,1.5442,68.775,6.8369,7.7555,,48.875,92.23,1388.9,114.25,1522.5,3.611,1.9563,47.565,79.45,1.5069,35.34,33.745,17538.5,1.4695,68.3,6.8298,7.752000000000001,,48.32,90.75,1370.2,113.9,1497.5,3.595,1.8629,47.05,77.95,1.4943,35.22,33.6,17434.0,1.5326,68.3,6.8343,7.7528,,48.64,91.2,1374.5,114.0,1497.5,3.611,1.935,47.25,78.25,1.5051,35.25,33.65,17485.0
2009-02-09,1.4697,68.775,6.8397,7.7522,,48.545,91.34,1378.0,114.07,1497.5,3.5989999999999998,1.8529,46.925,79.15,1.4962,35.28,33.725,17469.0,1.5090000000000001,69.275,6.8397,7.7546,,48.665,91.8,1387.8,114.07,1544.5,3.5989999999999998,1.9083,47.565,79.9,1.5012,35.3,33.77,17515.0,1.4592,68.3,6.8265,7.751,,48.295,91.15,1372.9,113.97,1497.5,3.5885,1.8349,46.85,78.6,1.4909999999999999,35.27,33.58,17454.0,1.4848,68.88,6.8305,7.752999999999999,,48.425,91.17,1373.9,113.97,1497.5,3.5935,1.8843,46.97,79.2,1.4980000000000002,35.29,33.77,17500.0
2009-02-10,1.5322,68.775,6.8247,7.7524,,48.8,90.16,1389.0,113.98,1496.5,3.589,1.9213,46.725,79.0,1.5068,35.28,33.949,17483.0,1.5424,69.045,6.8336,7.7537,,48.8,91.68,1392.3,114.25,1543.4,3.5975,1.9324,47.315,79.82,1.5093,35.3,33.963,17537.0,1.4704,68.3,6.8247,7.7508,,48.19,90.16,1375.9,113.85,1496.5,3.5775,1.8488,46.65,78.4,1.4959,35.17,33.773,17430.0,1.4708,68.65,6.8336,7.7522,,48.62,91.34,1375.9,114.0,1497.5,3.5925,1.8553,47.05,78.5,1.4971,35.28,33.783,17483.0
2009-02-11,1.525,68.225,6.8332,7.7518,,48.82,90.33,1395.5,114.0,1497.5,3.6042,1.9015,46.925,79.125,1.5041,35.36,33.986,17485.5,1.5429,69.045,6.8392,7.7529,,48.97,91.39,1420.4,114.2,1542.5,3.6168,1.9194,47.315,79.895,1.5117,35.36,34.096,17536.5,1.5142,68.0,6.8285,7.75,,48.51,89.72,1388.8,113.85,1492.5,3.5953,1.8896,46.65,78.5,1.5041,35.28,33.891999999999996,17435.0,1.5258,68.65,6.8308,7.751,,48.79,90.47,1405.3,114.1,1496.5,3.5953,1.9099,47.05,78.9,1.5067,35.28,33.891999999999996,17485.0
