,,ADF Statistic,P - Value,Lag
Prev_close_open,VND,-9.71596615963,9.82843257615e-17,13
Open_Ret,AUD,-35.6934569321,0.0,1
Open_Ret,BDT,-8.5218440801,1.09530152123e-13,27
Open_Ret,CNY,-15.2887439878,4.47332887643e-28,8
Open_Ret,HKD,-21.9420950336,0.0,6
Open_Ret,IDR,,,
Open_Ret,INR,-21.3610206557,0.0,4
Open_Ret,JPY,-52.1336368277,0.0,0
Open_Ret,KRW,-54.3094476738,0.0,0
Open_Ret,LKR,-6.83171390625,1.88634698047e-09,27
Open_Ret,MNT,-20.4472945907,0.0,4
Open_Ret,MYR,-25.7242803764,0.0,3
Open_Ret,NZD,-52.9085773016,0.0,0
Open_Ret,PHP,-55.798006767,0.0,0
Open_Ret,PKR,-8.09002029324,1.38632207914e-12,28
Open_Ret,SGD,-53.245710972,0.0,0
Open_Ret,THB,-48.1505632633,0.0,0
Open_Ret,TWD,-17.438914609,4.72137242336e-30,7
Open_Ret,VND,-14.7362510056,2.61274205836e-27,10
High_Ret,AUD,-46.1711410358,0.0,0
High_Ret,BDT,-9.30869386095,1.06345014378e-15,24
High_Ret,CNY,-18.4302281385,2.16918289561e-30,5
High_Ret,HKD,-10.6665096788,4.27364556275e-19,26
High_Ret,IDR,,,
High_Ret,INR,-20.8098720551,0.0,4
High_Ret,JPY,-45.8947480181,0.0,0
High_Ret,KRW,-25.22439273,0.0,3
High_Ret,LKR,-6.71847398264,3.53227880029e-09,26
High_Ret,MNT,-9.43129866608,5.1814263559e-16,22
High_Ret,MYR,-32.6683761961,0.0,1
High_Ret,NZD,-45.4903765281,0.0,0
High_Ret,PHP,-46.9405423766,0.0,0
High_Ret,PKR,-8.35895904811,2.85795472507e-13,25
High_Ret,SGD,-18.2692637041,2.32159929384e-30,6
High_Ret,THB,-20.7377429275,0.0,4
High_Ret,TWD,-14.0820879303,2.81704357055e-26,11
High_Ret,VND,-15.371575461,3.50271432977e-28,10
Low_Ret,AUD,-44.500444068,0.0,0
Low_Ret,BDT,-9.97783578491,2.15390004218e-17,19
Low_Ret,CNY,-23.4183667459,0.0,3
Low_Ret,HKD,-16.5797551254,1.83867257169e-29,11
Low_Ret,IDR,,,
Low_Ret,INR,-20.3974443196,0.0,4
Low_Ret,JPY,-24.2510355725,0.0,4
Low_Ret,KRW,-45.5912189648,0.0,0
Low_Ret,LKR,-7.05416967199,5.42914969086e-10,28
Low_Ret,MNT,-19.6933716052,0.0,4
Low_Ret,MYR,-11.6208086913,2.38709213682e-21,14
Low_Ret,NZD,-34.7703592398,0.0,1
Low_Ret,PHP,-45.4501126139,0.0,0
Low_Ret,PKR,-8.11047662598,1.22973096743e-12,28
Low_Ret,SGD,-18.2316696716,2.36644598207e-30,6
Low_Ret,THB,-43.5246747882,0.0,0
Low_Ret,TWD,-36.0580926301,0.0,1
Low_Ret,VND,-9.56304260373,2.3973518651e-16,24
Close_Ret,AUD,-35.4035709312,0.0,1
