,,ADF Statistic,P - Value,Lag
Low_MTD,INR,-11.8831675944,6.10987101836e-22,6
Low_MTD,JPY,-10.990584795,7.0764230059e-20,6
Low_MTD,KRW,-8.63413341183,5.65069299974e-14,22
Low_MTD,LKR,-7.82218708518,6.62480962347e-12,24
Low_MTD,MNT,-7.21049224231,2.24149246118e-10,26
Low_MTD,MYR,-7.44490815751,5.87301397181e-11,21
Low_MTD,NZD,-9.49089162085,3.65534322386e-16,21
Low_MTD,PHP,-8.75325035976,2.79943890202e-14,21
Low_MTD,PKR,-7.15771954423,3.02405921329e-10,23
Low_MTD,SGD,-9.09861294363,3.65699430222e-15,23
Low_MTD,THB,-11.4874501791,4.82681071486e-21,4
Low_MTD,TWD,-11.4197635828,6.91969032524e-21,1
Low_MTD,VND,-9.31989477609,9.95776255883e-16,27
Close_MTD,AUD,-8.2319247656,6.03064743899e-13,22
Close_MTD,BDT,-11.5470533331,3.52038894273e-21,10
Close_MTD,CNY,-7.66475820066,1.65245226378e-11,23
Close_MTD,HKD,-9.65140178488,1.43152205655e-16,14
Close_MTD,IDR,,,
Close_MTD,INR,-8.55711808807,8.89733589962e-14,25
Close_MTD,JPY,-11.0407188649,5.37466283738e-20,3
Close_MTD,KRW,-11.7497611841,1.21707653676e-21,4
Close_MTD,LKR,-7.61252334978,2.23555882492e-11,24
Close_MTD,MNT,-7.19388469055,2.46321642529e-10,26
Close_MTD,MYR,-11.0195338174,6.03650869667e-20,2
Close_MTD,NZD,-9.63023566533,1.61955803881e-16,21
Close_MTD,PHP,-10.8287058664,1.73014701155e-19,0
Close_MTD,PKR,-7.78129971149,8.40342816233e-12,22
Close_MTD,SGD,-9.58393012078,2.12203460084e-16,21
Close_MTD,THB,-11.654777421,1.99756578831e-21,5
Close_MTD,TWD,-11.5399052644,3.65590824261e-21,0
Close_MTD,VND,-10.1874630562,6.45210448828e-18,12
Open_YTD,AUD,-3.84619151794,0.00246854013411,0
Open_YTD,BDT,-3.08218455336,0.0279000130545,17
Open_YTD,CNY,-3.20988204,0.019419746559,1
Open_YTD,HKD,-4.11929052629,0.000899808229612,0
Open_YTD,IDR,,,
Open_YTD,INR,-4.04596371584,0.00118806118135,10
Open_YTD,JPY,-3.2410855422,0.017726304021,0
Open_YTD,KRW,-3.74545778119,0.00351733179004,1
Open_YTD,LKR,-2.96774295711,0.0380185923865,0
Open_YTD,MNT,-3.41325236243,0.0105153106851,2
Open_YTD,MYR,-3.07090636324,0.0287825172947,0
Open_YTD,NZD,-3.42670430764,0.0100815188423,1
Open_YTD,PHP,-3.3248799884,0.0138023135126,0
Open_YTD,PKR,-3.32208343031,0.013919744414,0
Open_YTD,SGD,-3.32628437009,0.0137436727072,2
Open_YTD,THB,-3.00836302481,0.0341207456668,0
Open_YTD,TWD,-3.15231493008,0.0229161873051,3
Open_YTD,VND,-3.11565888071,0.0254158557664,1
High_YTD,AUD,-3.70417850654,0.00405476212522,1
High_YTD,BDT,-2.90821387165,0.0444011396046,25
High_YTD,CNY,-3.20920830706,0.0194578153478,0
High_YTD,HKD,-4.11865541182,0.000901995976083,1
High_YTD,IDR,,,
High_YTD,INR,-4.1515773619,0.000794920158405,11
High_YTD,JPY,-3.1695388215,0.0218169958058,1
High_YTD,KRW,-3.73254678028,0.0036779604705,3
High_YTD,LKR,-2.96753633023,0.0380393384093,0
High_YTD,MNT,-3.20401400019,0.0197535056518,0
High_YTD,MYR,-2.99147098142,0.035698616719,0
High_YTD,NZD,-3.4190829881,0.0103252830136,1
High_YTD,PHP,-3.09479201244,0.0269410112748,0
High_YTD,PKR,-3.13340936554,0.0241775250303,22
High_YTD,SGD,-3.3539060484,0.0126342369846,2
High_YTD,THB,-2.99979704741,0.0349133578411,1
High_YTD,TWD,-3.15533435939,0.0227200999131,2
High_YTD,VND,-3.11682248859,0.0253330389743,2
Low_YTD,AUD,-3.74526319458,0.00351970416872,1
Low_YTD,BDT,-3.21347334288,0.0192179159983,12
Low_YTD,CNY,-3.29667324449,0.0150278370442,0
Low_YTD,HKD,-3.24005869678,0.0177799063008,8
Low_YTD,IDR,,,
Low_YTD,INR,-4.08933055188,0.0010086105766,11
Low_YTD,JPY,-3.35351987107,0.0126491839124,1
Low_YTD,KRW,-3.75436604359,0.00341028089233,1
Low_YTD,LKR,-3.06661702373,0.0291243586058,0
Low_YTD,MNT,-3.2847901468,0.0155721966501,0
Low_YTD,MYR,-3.17099245775,0.0217263546032,1
Low_YTD,NZD,-3.32643040487,0.0137375875951,2
Low_YTD,PHP,-3.15880855338,0.0224962769185,1
Low_YTD,PKR,-3.44401579255,0.00954682299474,16
Low_YTD,SGD,-3.33587296699,0.0133491472147,2
Low_YTD,THB,-3.09380406233,0.0270151264863,1
Low_YTD,TWD,-3.37056295307,0.0120042590378,2
Low_YTD,VND,-3.60840884384,0.00560228871359,12
Close_YTD,AUD,-3.76195207997,0.00332148528466,2
Close_YTD,BDT,-3.37077120733,0.0119965624991,11
Close_YTD,CNY,-3.31528695479,0.014208823382,0
Close_YTD,HKD,-3.65448670592,0.00480084206329,6
Close_YTD,IDR,,,
Close_YTD,INR,-4.05632979732,0.00114263973781,11
Close_YTD,JPY,-3.24023664953,0.0177706068563,0
Close_YTD,KRW,-3.73134374554,0.0036932649998,1
Close_YTD,LKR,-2.96064653596,0.0387365582208,0
Close_YTD,MNT,-3.34177349008,0.0131113795502,0
Close_YTD,MYR,-3.08932157504,0.0273535990183,0
Close_YTD,NZD,-3.34710335756,0.0128998383575,1
Close_YTD,PHP,-3.10502740745,0.0261833680146,1
Close_YTD,PKR,-3.28459162966,0.0155814360839,0
Close_YTD,SGD,-3.39905139031,0.0109912521848,1
Close_YTD,THB,-3.02443617438,0.0326745315401,0
Close_YTD,TWD,-3.28759653726,0.0154420956748,2
Close_YTD,VND,-3.11952851505,0.025141341914,1
