,"('Close', 'HKD', 'Hang Seng')","('High', 'HKD', 'Hang Seng')","('Low', 'HKD', 'Hang Seng')","('Open', 'HKD', 'Hang Seng')","('Intraday_OC', 'HKD', 'Hang Seng')","('Intraday_HL', 'HKD', 'Hang Seng')","('Prev_close_open', 'HKD', 'Hang Seng')","('Open_Ret', 'HKD', 'Hang Seng')","('High_Ret', 'HKD', 'Hang Seng')","('Low_Ret', 'HKD', 'Hang Seng')","('Close_Ret', 'HKD', 'Hang Seng')","('Open_Ret_MA_3', 'HKD', 'Hang Seng')","('Open_Ret_MA_15', 'HKD', 'Hang Seng')","('Open_Ret_MA_45', 'HKD', 'Hang Seng')","('High_Ret_MA_3', 'HKD', 'Hang Seng')","('High_Ret_MA_15', 'HKD', 'Hang Seng')","('High_Ret_MA_45', 'HKD', 'Hang Seng')","('Low_Ret_MA_3', 'HKD', 'Hang Seng')","('Low_Ret_MA_15', 'HKD', 'Hang Seng')","('Low_Ret_MA_45', 'HKD', 'Hang Seng')","('Close_Ret_MA_3', 'HKD', 'Hang Seng')","('Close_Ret_MA_15', 'HKD', 'Hang Seng')","('Close_Ret_MA_45', 'HKD', 'Hang Seng')","('Open_MTD', 'HKD', 'Hang Seng')","('High_MTD', 'HKD', 'Hang Seng')","('Low_MTD', 'HKD', 'Hang Seng')","('Close_MTD', 'HKD', 'Hang Seng')","('Open_YTD', 'HKD', 'Hang Seng')","('High_YTD', 'HKD', 'Hang Seng')","('Low_YTD', 'HKD', 'Hang Seng')","('Close_YTD', 'HKD', 'Hang Seng')",Target
120,3.2272185670658264,3.258659791255538,3.2602374475102587,3.2607607034879433,-0.36836652551251836,-0.45696724944021133,-0.20963799028321073,-0.8363561091234749,-0.8829555425012532,-0.29586186230840766,-0.41417716058408977,-1.0484661835359508,-0.2500611464611464,-0.40154948287825104,-1.3107584263026137,-0.22554090340319616,-0.3490101637895851,-1.159093207630679,-0.2574204139956906,-0.30079581890060464,-1.3691107511871623,-0.2672969832216165,-0.32079145036115886,-0.14178638508649893,-0.05310562908772803,-0.09585828002898383,-0.15290999997172083,-0.11218340136273737,-0.17466700887974443,-0.12976510876200822,-0.20510547858647069,-1.9347601327746309
121,2.961889816565249,3.0988884658183915,2.9679673138809815,3.1309800593176638,-1.7510431301164724,1.2714242588832343,-0.9585769708870597,-0.9525311020287516,-1.299849799806138,-2.140365809913501,-1.934661705078227,-1.4989706980073698,-0.5559117263574291,-0.4414219483019604,-1.6092967319955116,-0.5993696217258792,-0.4216986929560453,-1.900275995486946,-0.7833935075230875,-0.3857180103775612,-1.8194770435795922,-0.9060486410604394,-0.38820592250702096,-0.3994236551743042,-0.3805977736816206,-0.6715534626561855,-0.6934896810318165,-0.20966593010503656,-0.2938353937349386,-0.3482587830908618,-0.40246398141883843,-0.67135912124582
122,2.8734468997317237,3.0456313573393423,2.8705439360045557,3.0877198445942358,-2.2182660485835948,1.8657591096963442,1.285449724189275,-0.33360096068880424,-0.4521313140224627,-0.7430791318428911,-0.6712552613400418,-1.171527839353776,-0.5504351695489551,-0.2652943549583655,-1.4058949907723743,-0.6022704054394368,-0.31112984522244136,-1.7393667933621386,-0.9048085209606064,-0.41256939243322704,-1.7057997061008128,-0.8385614209423687,-0.37069132948832717,-0.48530274520356986,-0.4897618218795857,-0.8634518568652538,-0.8736829080518483,-0.24216010635246857,-0.3335581886866707,-0.4210900078671463,-0.46825014902962697,0.6926384080411274
123,2.969326110972745,3.0171827696341014,2.9016242251303956,2.869119594394947,1.013756605357558,1.0888211296583536,-0.043563745683992225,-1.6127774546180729,-0.2518995716587062,0.21315860454517205,0.6927481326882645,-1.5999977131371679,-0.5458571976587411,-0.5604181005445475,-1.0692662893046205,-0.29189395471825036,-0.3472629530928338,-1.4609302001381201,-0.4816932346242588,-0.36233184128765894,-1.0807425649661488,-0.3327944086262739,-0.3655210781404125,-0.9192624628634742,-0.5480744694886968,-0.8022318734813102,-0.6783390060616559,-0.4063579750667426,-0.35477709163417404,-0.39785517888895977,-0.3969326700622085,-1.2589761944820428
124,2.801081264021785,2.991132195448155,2.850963185671894,2.9890505240931797,-1.9641182850616121,1.4189161258287843,0.20264580982235103,0.870298269265536,-0.23284855696708415,-0.397787834720712,-1.2588748611366714,-0.5940652060271393,-0.44878820416083437,-0.45404657913796515,-0.5000881823899025,-0.5697273145780536,-0.5031966485715218,-0.5077318389031575,-0.7146011179269388,-0.6367743050699475,-0.6991401250744848,-0.9640732633835414,-0.7496066403553554,-0.6811785981694156,-0.6014717758245811,-0.9020207776741019,-1.021120350085499,-0.3162738922195429,-0.374207392045063,-0.4357280758529968,-0.5220776121043265,0.11465010000180394
125,2.8190149907099253,2.804066142576216,2.768418781435088,2.758708725540088,0.6052868925489443,0.07619533389276717,-0.4375633223648771,-1.71161885797032,-1.5504005727294077,-0.6383964410943067,0.1147573394890618,-1.354527496181389,-1.0821683767880377,-0.7638544018263442,-1.0859458107185895,-0.9593767958442146,-0.7530341976387175,-0.450469913932381,-1.0292891544242666,-0.6862828157119129,-0.2552955475261261,-0.9488185266410738,-0.5972195320519292,-1.1384473422547756,-0.9849114366531221,-1.0646115127652143,-0.9845822507087687,-0.48929122574843825,-0.5137340519196784,-0.49743616060674967,-0.5087380345323569,-1.2025481207604376
126,2.6603614287708393,2.790005635986735,2.6868540454026,2.805145793385707,-1.540597111432667,0.9741524190058873,-0.14259131633684755,0.3282231096334311,-0.136951314959586,-0.6351784250888903,-1.2024465447928836,-0.2833819492379987,-1.212125137448979,-0.5648625367341262,-1.0246281397409363,-1.3204835150649405,-0.601634936327988,-0.9145142654241195,-1.4653447869202045,-0.7004609983895688,-1.3254716237254534,-1.6323793089854435,-0.7016424657100947,-1.0462616433231997,-1.013732036622902,-1.2252725595272576,-1.3078223509627824,-0.4544108101833165,-0.5242213396474964,-0.5584118704752314,-0.6267487265295375,-0.27341435716662205
127,2.626726755903682,2.634983091262269,2.5227449051333046,2.6182972767712194,0.06304324166107873,1.1309121242490212,-0.4402845886498428,-1.4125819894672795,-1.3089379923791191,-1.2665656292691518,-0.2733087862290668,-1.5431945780352472,-1.6905763654926522,-0.7889801962665057,-1.5986542262420713,-1.7519365064553012,-0.8631804639910937,-1.3897398116148314,-1.885675044171686,-0.9565880153378024,-0.7689434488565768,-1.7680931910396291,-0.9166424901067203,-1.417188618206686,-1.3314903420842301,-1.5485243413804184,-1.3763494920916104,-0.5947589029807975,-0.639847758971558,-0.6810956650974661,-0.6517670808081252,-1.6922219136409062
128,2.4059127527850475,2.6159165739635113,2.4545171113501616,2.6504059601450307,-2.6140855543000154,1.8049269126715808,0.24765970680436714,0.22376135145647835,-0.18071568458175072,-0.5450636481369489,-1.6921224431098238,-0.4751506366006877,-1.742908428408577,-0.81320184211065,-0.8680134168356533,-1.8978341384964843,-0.8126641617535724,-1.3386863342020958,-2.2103977795745204,-0.9938005676194518,-1.7892499845817462,-2.31426617284821,-1.030219251601957,-1.3534472676884337,-1.3705720397732366,-1.6829151247098566,-1.826235013936762,-0.5706410102867367,-0.6540688719596982,-0.7321010181587512,-0.816014343789227,0.4383976299207931
129,2.4652265039369587,2.438883540877196,2.3814750682367847,2.4027961906223965,0.6494528295025411,0.42541291718846275,-0.03536060913978142,-1.8891422410744878,-1.5129619438358752,-0.5853692813588441,0.4385062614160919,-1.6988087153778357,-2.4355664692974837,-1.0476513024755325,-1.6020286113769715,-2.3845498691975067,-0.9973084076795933,-1.3114404979446144,-2.5015314000411846,-0.9079532699172813,-0.8626388790086802,-2.387120643675459,-0.8130055338300409,-1.8449959533551523,-1.733446463646042,-1.8267887112014414,-1.7053894266429404,-0.7566288872053762,-0.7861122192949598,-0.7867053808493681,-0.7718952157164953,1.4587303375093699
