,,,ADF Statistic,P - Value,Lag
Volume,NZD,NZX MidCap,-5.26150191178,6.57600960062e-06,22
Volume,PHP,PSEi Composite,,,
Volume,PKR,Karachi 100,-2.55731249729,0.102144698324,23
Volume,SGD,STI Index,,,
Volume,THB,SET,-3.487112371,0.0083243105047,18
Volume,TWD,TPEx 50,,,
Volume,TWD,Taiwan Weighted,,,
Volume,USD,Dow 30,-2.47384933496,0.121967395979,24
Volume,USD,Nasdaq,-5.33794159822,4.56701870403e-06,24
Volume,USD,Nasdaq 100,-4.91481417343,3.26312984789e-05,24
Volume,USD,S&P 500,,,0
Volume,VND,HNX 30,,,
Volume,VND,VN 30,-9.27301175435,1.31134725466e-15,27
Intraday_OC,AUD,S&P/ASX 200,-19.7579542399,0.0,6
Intraday_OC,BDT,DSE 30,,,
Intraday_OC,CNY,SZSE Component,,,
Intraday_OC,CNY,Shanghai,-18.5145480108,2.11246570303e-30,6
Intraday_OC,HKD,Hang Seng,-36.9851646722,0.0,1
Intraday_OC,IDR,IDX Composite,-14.0077022945,3.76219298756e-26,11
Intraday_OC,INR,BSE Sensex,,,
Intraday_OC,INR,Nifty 50,-12.8288379264,5.93331738831e-24,12
Intraday_OC,JPY,Nikkei 225,-16.1133795638,4.98551517367e-29,11
Intraday_OC,KRW,KOSPI,-51.347548369,0.0,0
Intraday_OC,KRW,KOSPI 50,,,
Intraday_OC,LKR,CSE All-Share,-8.44019041114,1.77179477014e-13,28
Intraday_OC,MNT,MNE Top 20,,,
Intraday_OC,MYR,KLCI,,,
Intraday_OC,NZD,NZX 50,-17.4261597614,4.79546667932e-30,7
Intraday_OC,NZD,NZX MidCap,-18.0245788306,2.68846248885e-30,6
Intraday_OC,PHP,PSEi Composite,,,
Intraday_OC,PKR,Karachi 100,-43.7764103984,0.0,0
Intraday_OC,SGD,STI Index,,,
Intraday_OC,THB,SET,-22.4207827344,0.0,5
Intraday_OC,TWD,TPEx 50,,,
Intraday_OC,TWD,Taiwan Weighted,,,
Intraday_OC,USD,Dow 30,-24.7966272261,0.0,4
Intraday_OC,USD,Nasdaq,-52.1789668178,0.0,0
Intraday_OC,USD,Nasdaq 100,-52.9557954113,0.0,0
Intraday_OC,USD,S&P 500,-24.9864782679,0.0,4
Intraday_OC,VND,HNX 30,,,
Intraday_OC,VND,VN 30,-26.0185036798,0.0,2
Intraday_HL,AUD,S&P/ASX 200,-5.96699335258,1.97696271806e-07,20
Intraday_HL,BDT,DSE 30,,,
