,,,ADF Statistic,P - Value,Lag
Open_YTD,NZD,NZX MidCap,-3.3227030556,0.0138936497328,0
Open_YTD,PHP,PSEi Composite,,,
Open_YTD,PKR,Karachi 100,-3.81853009174,0.0027233172368,0
Open_YTD,SGD,STI Index,,,
Open_YTD,THB,SET,-4.03122236326,0.00125556279957,0
Open_YTD,TWD,TPEx 50,,,
Open_YTD,TWD,Taiwan Weighted,,,
Open_YTD,USD,Dow 30,-3.94773749667,0.00171030363051,0
Open_YTD,USD,Nasdaq,-3.65809159728,0.00474277454671,0
Open_YTD,USD,Nasdaq 100,-3.73312599974,0.00367061261536,0
Open_YTD,USD,S&P 500,-3.49201045432,0.00819466902737,0
Open_YTD,VND,HNX 30,,,
Open_YTD,VND,VN 30,-3.69690846614,0.0041568500707,0
High_YTD,AUD,S&P/ASX 200,-3.13548255445,0.0240363436427,1
High_YTD,BDT,DSE 30,,,
High_YTD,CNY,SZSE Component,,,
High_YTD,CNY,Shanghai,-3.24630751883,0.0174558945769,1
High_YTD,HKD,Hang Seng,-3.55901978717,0.00659458008811,1
High_YTD,IDR,IDX Composite,-3.55058159234,0.00677919905066,2
High_YTD,INR,BSE Sensex,,,
High_YTD,INR,Nifty 50,-3.40289039176,0.0108607321104,1
High_YTD,JPY,Nikkei 225,-3.324406449,0.013822136228,1
High_YTD,KRW,KOSPI,-3.84966681315,0.00243813525663,1
High_YTD,KRW,KOSPI 50,,,
High_YTD,LKR,CSE All-Share,-2.66881371302,0.0795920667654,0
High_YTD,MNT,MNE Top 20,,,
High_YTD,MYR,KLCI,,,
High_YTD,NZD,NZX 50,-2.95648531139,0.039162825553,1
High_YTD,NZD,NZX MidCap,-3.3729931409,0.0119147180314,1
High_YTD,PHP,PSEi Composite,,,
High_YTD,PKR,Karachi 100,-3.72507577827,0.00377395170337,1
High_YTD,SGD,STI Index,,,
High_YTD,THB,SET,-3.93668838159,0.00178083254121,1
High_YTD,TWD,TPEx 50,,,
High_YTD,TWD,Taiwan Weighted,,,
High_YTD,USD,Dow 30,-3.91331522313,0.00193901060684,1
High_YTD,USD,Nasdaq,-3.58411158445,0.00607214680797,1
High_YTD,USD,Nasdaq 100,-3.62015314799,0.00538722750417,1
High_YTD,USD,S&P 500,-3.42761801605,0.0100526421409,1
High_YTD,VND,HNX 30,,,
High_YTD,VND,VN 30,-3.64453684252,0.00496449113754,1
Low_YTD,AUD,S&P/ASX 200,-2.88316168052,0.0473413951681,5
Low_YTD,BDT,DSE 30,,,
Low_YTD,CNY,SZSE Component,,,
Low_YTD,CNY,Shanghai,-3.37489248416,0.0118451497669,25
Low_YTD,HKD,Hang Seng,-3.63595256783,0.00510974348064,1
Low_YTD,IDR,IDX Composite,-3.59365607349,0.00588347466027,3
Low_YTD,INR,BSE Sensex,,,
Low_YTD,INR,Nifty 50,-3.51552809999,0.00759714096229,0
Low_YTD,JPY,Nikkei 225,-3.49755817612,0.00805002717,1
Low_YTD,KRW,KOSPI,-4.03652381641,0.00123088540892,1
Low_YTD,KRW,KOSPI 50,,,
Low_YTD,LKR,CSE All-Share,-2.74951498849,0.0658548780201,0
Low_YTD,MNT,MNE Top 20,,,
Low_YTD,MYR,KLCI,,,
Low_YTD,NZD,NZX 50,-3.12847410617,0.0245164903956,1
Low_YTD,NZD,NZX MidCap,-3.39435912035,0.0111526784758,1
Low_YTD,PHP,PSEi Composite,,,
Low_YTD,PKR,Karachi 100,-3.95829613186,0.00164533753798,1
Low_YTD,SGD,STI Index,,,
Low_YTD,THB,SET,-4.06102075047,0.00112262287429,1
Low_YTD,TWD,TPEx 50,,,
Low_YTD,TWD,Taiwan Weighted,,,
Low_YTD,USD,Dow 30,-4.25035460835,0.000540859771833,1
Low_YTD,USD,Nasdaq,-3.83543195719,0.00256490737084,1
Low_YTD,USD,Nasdaq 100,-3.91130958867,0.00195317346214,1
Low_YTD,USD,S&P 500,-3.83210732974,0.00259537881985,1
Low_YTD,VND,HNX 30,,,
Low_YTD,VND,VN 30,-3.79481471237,0.00296081505133,1
Close_YTD,AUD,S&P/ASX 200,-3.1150457278,0.0254595889714,0
Close_YTD,BDT,DSE 30,,,
Close_YTD,CNY,SZSE Component,,,
Close_YTD,CNY,Shanghai,-3.41049942468,0.0106061120473,23
Close_YTD,HKD,Hang Seng,-3.52739075921,0.00731088386433,0
Close_YTD,IDR,IDX Composite,-3.78061185489,0.00311202803675,0
Close_YTD,INR,BSE Sensex,,,
Close_YTD,INR,Nifty 50,-3.41005804598,0.0106207351041,0
Close_YTD,JPY,Nikkei 225,-3.41932135508,0.010317579958,0
Close_YTD,KRW,KOSPI,-3.89972270642,0.00203688878242,0
Close_YTD,KRW,KOSPI 50,,,
Close_YTD,LKR,CSE All-Share,-2.69478830623,0.0749444698178,0
Close_YTD,MNT,MNE Top 20,,,
Close_YTD,MYR,KLCI,,,
Close_YTD,NZD,NZX 50,-2.55997151214,0.101555726022,1
Close_YTD,NZD,NZX MidCap,-2.51722084278,0.111340333004,1
Close_YTD,PHP,PSEi Composite,,,
Close_YTD,PKR,Karachi 100,-3.77978404194,0.00312105674861,1
Close_YTD,SGD,STI Index,,,
Close_YTD,THB,SET,-3.836038713,0.00255938196898,0
Close_YTD,TWD,TPEx 50,,,
Close_YTD,TWD,Taiwan Weighted,,,
Close_YTD,USD,Dow 30,-4.25064452954,0.000540241800803,0
Close_YTD,USD,Nasdaq,-3.78456477353,0.00306924488246,0
Close_YTD,USD,Nasdaq 100,-3.81540850289,0.00275354224084,0
Close_YTD,USD,S&P 500,-3.76590765079,0.00327603150343,0
Close_YTD,VND,HNX 30,,,
Close_YTD,VND,VN 30,-3.65772611489,0.00474863243582,0
