,Pair,Model,Transformation,Shuffle,Poly,MSE,R2
0,MNT,LinearRegression,,True,True,2.3419088949153856e-05,-0.37043121520931677
1,MNT,LinearRegression,,True,False,1.1900895713819889e-05,0.1112451600540113
2,MNT,LinearRegression,,False,True,1.2844768703924468e-05,-2.4488112144350422
3,MNT,LinearRegression,,False,False,3.949658879997468e-06,-0.060480585716299995
4,MNT,LinearRegression,MinMaxScaler,True,True,0.006421779791637197,-0.5620469780278363
5,MNT,LinearRegression,MinMaxScaler,True,False,0.004248610251386071,0.06256137485310986
6,MNT,LinearRegression,MinMaxScaler,False,True,0.003854379906003043,-2.4423474738178697
7,MNT,LinearRegression,MinMaxScaler,False,False,0.0011874150100709756,-0.06048058571629977
8,MNT,LinearRegression,MaxAbsScaler,True,True,0.03773676968825648,-1.5905425084530678
9,MNT,LinearRegression,MaxAbsScaler,True,False,0.018959167464069043,0.08799265102456666
10,MNT,LinearRegression,MaxAbsScaler,False,True,0.01523180487174067,-2.4485082462568712
11,MNT,LinearRegression,MaxAbsScaler,False,False,0.004684064006352016,-0.06048058571629911
12,MNT,LinearRegression,StandardScaler,True,True,1.6738527557505154,-0.5199690595906274
13,MNT,LinearRegression,StandardScaler,True,False,0.9818371338423026,0.14851234288905946
14,MNT,LinearRegression,StandardScaler,False,True,0.6706858540197005,-2.4748501805109706
15,MNT,LinearRegression,StandardScaler,False,False,0.20468489009729315,-0.060480585716297774
16,MNT,LinearRegression,RobustScaler,True,True,7.45955283188989,-0.47326212807689405
17,MNT,LinearRegression,RobustScaler,True,False,4.4567841790196,0.12051279514351598
18,MNT,LinearRegression,RobustScaler,False,True,3.522382511511411,-2.4488112156342203
19,MNT,LinearRegression,RobustScaler,False,False,1.0831031434805716,-0.06048058571630066
20,MNT,LinearRegression,Normalizer,True,True,1.1164995432610947,-0.6756717571766073
21,MNT,LinearRegression,Normalizer,True,False,0.7071194975836431,0.007240425900221448
22,MNT,LinearRegression,Normalizer,False,True,1.1733791660265582,-0.4783766914147689
23,MNT,LinearRegression,Normalizer,False,False,0.8531534054429745,-0.07491435447855865
24,MNT,LinearRegression,QuantileTransformer,True,True,0.09816884417937179,-0.18491151949643903
25,MNT,LinearRegression,QuantileTransformer,True,False,0.07966628632087162,0.05226372478048935
26,MNT,LinearRegression,QuantileTransformer,False,True,0.08509415926901802,-0.3821121926599591
27,MNT,LinearRegression,QuantileTransformer,False,False,0.06499829701920862,-0.055712161493670864
28,MNT,LinearRegression,PowerTransformer,True,True,1.4275440773851145,-0.29531685479201
29,MNT,LinearRegression,PowerTransformer,True,False,0.7559870418692177,-0.054065556176320806
30,MNT,LinearRegression,PowerTransformer,False,True,0.3129920348651354,-0.6292811599667891
31,MNT,LinearRegression,PowerTransformer,False,False,0.20581144319646835,-0.0713522056561866
32,MNT,LinearRegression,FunctionTransformer,True,True,2.6678248420717273e-05,-1.1477546038915523
33,MNT,LinearRegression,FunctionTransformer,True,False,1.4042633387431234e-05,-0.005165643510696816
34,MNT,LinearRegression,FunctionTransformer,False,True,1.2449623303581065e-05,-2.3520281308852615
35,MNT,LinearRegression,FunctionTransformer,False,False,3.93519393964759e-06,-0.05954055512616496
36,MNT,Ridge,,True,True,1.545848830835308e-05,0.010038541865778683
37,MNT,Ridge,,True,False,1.5805118453388183e-05,0.017553452819859094
38,MNT,Ridge,,False,True,3.705749049842536e-06,0.005009029312133095
39,MNT,Ridge,,False,False,3.7076830735668607e-06,0.0044897453247617625
40,MNT,Ridge,MinMaxScaler,True,True,0.003882774773907484,-0.09139566451453596
41,MNT,Ridge,MinMaxScaler,True,False,0.005228492392137414,0.0749695256439391
42,MNT,Ridge,MinMaxScaler,False,True,0.0012297770549086718,-0.0983141365309681
43,MNT,Ridge,MinMaxScaler,False,False,0.0011701684263004527,-0.04507765826174781
44,MNT,Ridge,MaxAbsScaler,True,True,0.020267230996026845,0.011873834699054453
45,MNT,Ridge,MaxAbsScaler,True,False,0.017464616302248607,0.13673260624823358
46,MNT,Ridge,MaxAbsScaler,False,True,0.004997916993809063,-0.13153747125755255
47,MNT,Ridge,MaxAbsScaler,False,False,0.004650028303837327,-0.05277484094229612
48,MNT,Ridge,StandardScaler,True,True,1.280290457785417,-0.0007708276737794506
49,MNT,Ridge,StandardScaler,True,False,0.8048490946876291,0.07143117519675124
50,MNT,Ridge,StandardScaler,False,True,0.24505519856939298,-0.26964076531573067
51,MNT,Ridge,StandardScaler,False,False,0.20392628314057182,-0.05655021279326511
52,MNT,Ridge,RobustScaler,True,True,8.323680553176711,-0.18603082516724068
53,MNT,Ridge,RobustScaler,True,False,4.911697658339284,0.11405206105692278
54,MNT,Ridge,RobustScaler,False,True,1.4332207100061112,-0.4032853169678543
55,MNT,Ridge,RobustScaler,False,False,1.0789348298389188,-0.05639933480427395
56,MNT,Ridge,Normalizer,True,True,0.7253117953048348,0.0034697806022337963
57,MNT,Ridge,Normalizer,True,False,0.7288673162727825,0.005768599812407849
58,MNT,Ridge,Normalizer,False,True,0.7958062570889775,-0.0026609091299856225
59,MNT,Ridge,Normalizer,False,False,0.8352399125421572,-0.052344590899006116
60,MNT,Ridge,QuantileTransformer,True,True,0.07994825278195752,-0.027389165126065596
61,MNT,Ridge,QuantileTransformer,True,False,0.07605664070598125,0.06343853288725632
62,MNT,Ridge,QuantileTransformer,False,True,0.0771755852436602,-0.2534975168356426
63,MNT,Ridge,QuantileTransformer,False,False,0.06495924232169543,-0.055077829195457895
64,MNT,Ridge,PowerTransformer,True,True,1.6302718598009251,-0.5672964695919782
65,MNT,Ridge,PowerTransformer,True,False,0.7467057031663191,0.09658839345319925
66,MNT,Ridge,PowerTransformer,False,True,0.27272981354695447,-0.41969602250349536
67,MNT,Ridge,PowerTransformer,False,False,0.2042544371585085,-0.06324720514173077
68,MNT,Ridge,FunctionTransformer,True,True,1.3826092203058955e-05,0.013831972186031383
69,MNT,Ridge,FunctionTransformer,True,False,1.385900348407767e-05,0.020391203354659937
70,MNT,Ridge,FunctionTransformer,False,True,3.6953224623523017e-06,0.00504420539904149
71,MNT,Ridge,FunctionTransformer,False,False,3.6969665430384525e-06,0.004601541024783828
72,MNT,RidgeCV,,True,True,1.5792690763131764e-05,0.05402490135001359
73,MNT,RidgeCV,,True,False,1.8285742745163027e-05,0.04883504440090236
74,MNT,RidgeCV,,False,True,3.765654049112381e-06,-0.01107542016646601
75,MNT,RidgeCV,,False,False,3.7654017940188528e-06,-0.011007689854187763
76,MNT,RidgeCV,MinMaxScaler,True,True,0.004206307051129982,0.05502993287073332
77,MNT,RidgeCV,MinMaxScaler,True,False,0.004404815112856457,0.11673431756678576
78,MNT,RidgeCV,MinMaxScaler,False,True,0.0011421161646495035,-0.020024177706126745
79,MNT,RidgeCV,MinMaxScaler,False,False,0.0011819418772737436,-0.05559252970784079
80,MNT,RidgeCV,MaxAbsScaler,True,True,0.016146835129783217,0.08405831447223389
81,MNT,RidgeCV,MaxAbsScaler,True,False,0.015919368627733077,0.07698851620065206
82,MNT,RidgeCV,MaxAbsScaler,False,True,0.004655370124596241,-0.05398423884965231
83,MNT,RidgeCV,MaxAbsScaler,False,False,0.004665301202384132,-0.05623265287111212
84,MNT,RidgeCV,StandardScaler,True,True,0.9839151290390605,-0.056736124077253036
85,MNT,RidgeCV,StandardScaler,True,False,0.8629648979025437,0.13716809060180535
86,MNT,RidgeCV,StandardScaler,False,True,0.22916359982002957,-0.18730575787242287
87,MNT,RidgeCV,StandardScaler,False,False,0.20433973941464215,-0.058692346252582794
88,MNT,RidgeCV,RobustScaler,True,True,5.136220825618496,-0.13144932362236772
89,MNT,RidgeCV,RobustScaler,True,False,5.745287674420876,0.14893757112386197
90,MNT,RidgeCV,RobustScaler,False,True,1.293723511344136,-0.26670176826957825
91,MNT,RidgeCV,RobustScaler,False,False,1.081322558191932,-0.05873719115486842
92,MNT,RidgeCV,Normalizer,True,True,0.6988853735775318,0.02061733900814544
93,MNT,RidgeCV,Normalizer,True,False,0.723218292768129,0.0236794902691132
94,MNT,RidgeCV,Normalizer,False,True,0.7953348268508917,-0.0020669395966983473
95,MNT,RidgeCV,Normalizer,False,False,0.8193135899862773,-0.032278524679083764
96,MNT,RidgeCV,QuantileTransformer,True,True,0.07953912340704211,0.035514913748071475
97,MNT,RidgeCV,QuantileTransformer,True,False,0.07106939069433321,0.08938021524055995
98,MNT,RidgeCV,QuantileTransformer,False,True,0.0701348644110208,-0.13914106521195424
99,MNT,RidgeCV,QuantileTransformer,False,False,0.06495924232169742,-0.05507782919549009
100,MNT,RidgeCV,PowerTransformer,True,True,1.1867970689537533,-0.2894955324591535
101,MNT,RidgeCV,PowerTransformer,True,False,0.8682463051727086,0.11594646374825512
102,MNT,RidgeCV,PowerTransformer,False,True,0.2500119111571361,-0.30143790014059135
103,MNT,RidgeCV,PowerTransformer,False,False,0.20542363702822317,-0.06933347925660582
104,MNT,RidgeCV,FunctionTransformer,True,True,1.474260525511639e-05,0.0319948084815278
105,MNT,RidgeCV,FunctionTransformer,True,False,1.5635459264262764e-05,0.06477668752762156
106,MNT,RidgeCV,FunctionTransformer,False,True,3.753664094411159e-06,-0.010664124651940332
107,MNT,RidgeCV,FunctionTransformer,False,False,3.752819955948172e-06,-0.010436842604500507
108,MNT,Lasso,,True,True,1.2027894680428716e-05,-0.0020536948963734147
109,MNT,Lasso,,True,False,1.5050787817611852e-05,-4.612108972290585e-06
110,MNT,Lasso,,False,True,3.7253528280083424e-06,-0.00025457111088367235
111,MNT,Lasso,,False,False,3.7253528280083424e-06,-0.00025457111088367235
112,MNT,Lasso,MinMaxScaler,True,True,0.0067060449822150085,-4.267651061429234e-07
113,MNT,Lasso,MinMaxScaler,True,False,0.0052259326118277195,-0.001042120840813343
114,MNT,Lasso,MinMaxScaler,False,True,0.0011199802312523508,-0.00025457111088411644
115,MNT,Lasso,MinMaxScaler,False,False,0.0011199802312523508,-0.00025457111088411644
116,MNT,Lasso,MaxAbsScaler,True,True,0.020862692959584754,-0.0004087979021354382
117,MNT,Lasso,MaxAbsScaler,True,False,0.01900012152656457,-0.0018912436496461016
118,MNT,Lasso,MaxAbsScaler,False,True,0.00441805017162565,-0.00025457111088411644
119,MNT,Lasso,MaxAbsScaler,False,False,0.00441805017162565,-0.00025457111088411644
120,MNT,Lasso,StandardScaler,True,True,0.9730079817421224,-0.0007429510175906984
121,MNT,Lasso,StandardScaler,True,False,0.7994790409933642,-0.007180165810836137
122,MNT,Lasso,StandardScaler,False,True,0.1930605800000172,-0.0002545711108838944
123,MNT,Lasso,StandardScaler,False,False,0.1930605800000172,-0.0002545711108838944
124,MNT,Lasso,RobustScaler,True,True,5.58536683998249,0.01973161793945699
125,MNT,Lasso,RobustScaler,True,False,5.214628559912652,-0.0006253838452059401
126,MNT,Lasso,RobustScaler,False,True,1.026928732624583,-0.005479478494516243
127,MNT,Lasso,RobustScaler,False,False,1.0215923656152948,-0.00025457111088367235
128,MNT,Lasso,Normalizer,True,True,0.7362903524860588,-0.00331729914790313
129,MNT,Lasso,Normalizer,True,False,0.7317899706530979,-0.00016581579510610567
130,MNT,Lasso,Normalizer,False,True,0.7960824381097125,-0.0030088781373514006
131,MNT,Lasso,Normalizer,False,False,0.7960824381097125,-0.0030088781373514006
132,MNT,Lasso,QuantileTransformer,True,True,0.07915925804450821,-0.00026482592041410236
133,MNT,Lasso,QuantileTransformer,True,False,0.08082155482076527,-0.0010044685828387578
134,MNT,Lasso,QuantileTransformer,False,True,0.06178343449385448,-0.0034958785879262155
135,MNT,Lasso,QuantileTransformer,False,False,0.06178343449385448,-0.0034958785879262155
136,MNT,Lasso,PowerTransformer,True,True,1.1373175653282455,-0.004216545817658179
137,MNT,Lasso,PowerTransformer,True,False,1.0375128684721862,-0.0031473019498768906
138,MNT,Lasso,PowerTransformer,False,True,0.19211091735723818,-3.406926618487738e-05
139,MNT,Lasso,PowerTransformer,False,False,0.19211091735723818,-3.406926618487738e-05
140,MNT,Lasso,FunctionTransformer,True,True,1.7851741545388177e-05,-0.0042990819098001065
141,MNT,Lasso,FunctionTransformer,True,False,1.729651089893466e-05,-0.0007713335916821329
142,MNT,Lasso,FunctionTransformer,False,True,3.7145860640294283e-06,-0.0001424683780937297
143,MNT,Lasso,FunctionTransformer,False,False,3.7145860640294283e-06,-0.0001424683780937297
144,MNT,LassoCV,,True,True,1.3775162730512158e-05,0.11601427747109672
145,MNT,LassoCV,,True,False,1.549073573876728e-05,0.16199915221580885
146,MNT,LassoCV,,False,True,3.911151582153781e-06,-0.05014140377366805
147,MNT,LassoCV,,False,False,3.909201070788642e-06,-0.049617692866525065
148,MNT,LassoCV,MinMaxScaler,True,True,0.003644429105124301,0.05676044646448908
149,MNT,LassoCV,MinMaxScaler,True,False,0.004587616316120794,0.15886762402337318
150,MNT,LassoCV,MinMaxScaler,False,True,0.00115255139190323,-0.029343881277545725
151,MNT,LassoCV,MinMaxScaler,False,False,0.0011796485682031839,-0.05354437491297226
152,MNT,LassoCV,MaxAbsScaler,True,True,0.023947609598048314,0.07508504805396266
153,MNT,LassoCV,MaxAbsScaler,True,False,0.016378576519204043,0.17289781925854375
154,MNT,LassoCV,MaxAbsScaler,False,True,0.004515393821187377,-0.02229334990703058
155,MNT,LassoCV,MaxAbsScaler,False,False,0.00465993212406146,-0.055017083801888855
156,MNT,LassoCV,StandardScaler,True,True,1.0057371716659271,0.06230868397407163
157,MNT,LassoCV,StandardScaler,True,False,0.950295369863368,0.05725939508394973
158,MNT,LassoCV,StandardScaler,False,True,0.19492984794986185,-0.009939322971999509
159,MNT,LassoCV,StandardScaler,False,False,0.20418205870424233,-0.0578753961980798
160,MNT,LassoCV,RobustScaler,True,True,4.425783612082414,0.07665314571724158
161,MNT,LassoCV,RobustScaler,True,False,4.3088141403273035,0.10167218039372239
162,MNT,LassoCV,RobustScaler,False,True,1.0215923656152948,-0.00025457111088367235
163,MNT,LassoCV,RobustScaler,False,False,1.0819024999808153,-0.05930501981611647
164,MNT,LassoCV,Normalizer,True,True,0.6948699231291837,0.057822482302872236
165,MNT,LassoCV,Normalizer,True,False,0.732907807537219,0.027780017579442595
166,MNT,LassoCV,Normalizer,False,True,0.7972787826944058,-0.004516189669820481
167,MNT,LassoCV,Normalizer,False,False,0.8244954392527287,-0.038807296789371115
168,MNT,LassoCV,QuantileTransformer,True,True,0.08189306212831954,0.053150712022988156
169,MNT,LassoCV,QuantileTransformer,True,False,0.07193597966087392,0.06564406434451786
170,MNT,LassoCV,QuantileTransformer,False,True,0.0651252907549719,-0.0577748129388187
171,MNT,LassoCV,QuantileTransformer,False,False,0.06478648261606906,-0.05227183995251017
172,MNT,LassoCV,PowerTransformer,True,True,1.3031291491818602,0.02008615590631324
173,MNT,LassoCV,PowerTransformer,True,False,0.9057207515961162,0.050858267565757176
174,MNT,LassoCV,PowerTransformer,False,True,0.19432700224638028,-0.011569907104109767
175,MNT,LassoCV,PowerTransformer,False,False,0.20332940961260088,-0.05843197093410324
176,MNT,LassoCV,FunctionTransformer,True,True,1.3983958503854313e-05,0.08775179108878584
177,MNT,LassoCV,FunctionTransformer,True,False,1.1903982166192298e-05,0.02550624783829014
178,MNT,LassoCV,FunctionTransformer,False,True,3.9031706410952e-06,-0.05091836672947081
179,MNT,LassoCV,FunctionTransformer,False,False,3.901220560096905e-06,-0.05039331258089197
180,MNT,LassoLarsCV,,True,True,2.06696025765276e-05,0.044471648581148715
181,MNT,LassoLarsCV,,True,False,1.415826400111898e-05,0.09801466125789715
182,MNT,LassoLarsCV,,False,True,3.757413267110206e-06,-0.008862776090116764
183,MNT,LassoLarsCV,,False,False,3.9339111554944534e-06,-0.056252332945096795
184,MNT,LassoLarsCV,MinMaxScaler,True,True,0.003950187052112748,0.06570047659886114
185,MNT,LassoLarsCV,MinMaxScaler,True,False,0.004914451012854103,0.10547822298827847
186,MNT,LassoLarsCV,MinMaxScaler,False,True,0.0011296521587079466,-0.008892571478171574
187,MNT,LassoLarsCV,MinMaxScaler,False,False,0.0011837432863023613,-0.0572013684757362
188,MNT,LassoLarsCV,MaxAbsScaler,True,True,0.017906411657513666,0.04243115922873031
189,MNT,LassoLarsCV,MaxAbsScaler,True,False,0.019375903842392402,0.1900361085685517
190,MNT,LassoLarsCV,MaxAbsScaler,False,True,0.004456203133566854,-0.00889247088581313
191,MNT,LassoLarsCV,MaxAbsScaler,False,False,0.004669579947282558,-0.05720136847573665
192,MNT,LassoLarsCV,StandardScaler,True,True,1.0651234158646639,0.034696914118133804
193,MNT,LassoLarsCV,StandardScaler,True,False,1.0277655542503104,0.03533485827174032
194,MNT,LassoLarsCV,StandardScaler,False,True,0.19472779351615013,-0.008892470885812909
195,MNT,LassoLarsCV,StandardScaler,False,False,0.20405196363967562,-0.05720136847573576
196,MNT,LassoLarsCV,RobustScaler,True,True,3.9501627226907847,0.07679734562041374
197,MNT,LassoLarsCV,RobustScaler,True,False,4.399435832588206,0.1360676496057862
198,MNT,LassoLarsCV,RobustScaler,False,True,1.0304145322115612,-0.008892470885812243
199,MNT,LassoLarsCV,RobustScaler,False,False,1.0797539727845211,-0.05720136847573598
200,MNT,LassoLarsCV,Normalizer,True,True,0.7299595868160788,-0.010990688492387823
201,MNT,LassoLarsCV,Normalizer,True,False,0.7021523055735222,0.00808118438079064
202,MNT,LassoLarsCV,Normalizer,False,True,0.7949509163606495,-0.0015832388997738533
203,MNT,LassoLarsCV,Normalizer,False,False,0.8267409141745867,-0.04163644007207723
204,MNT,LassoLarsCV,QuantileTransformer,True,True,0.07729060225009708,0.08311355113574326
205,MNT,LassoLarsCV,QuantileTransformer,True,False,0.07307934389620734,0.09375867504599222
206,MNT,LassoLarsCV,QuantileTransformer,False,True,0.0650653203357942,-0.056800764328943876
207,MNT,LassoLarsCV,QuantileTransformer,False,False,0.06477224940638823,-0.05204066201022184
208,MNT,LassoLarsCV,PowerTransformer,True,True,0.7762665314696469,-0.05267971761373236
209,MNT,LassoLarsCV,PowerTransformer,True,False,1.0030820177841882,0.04320409119210633
210,MNT,LassoLarsCV,PowerTransformer,False,True,0.19424175764986695,-0.011126166051248942
211,MNT,LassoLarsCV,PowerTransformer,False,False,0.20311843066654808,-0.05733371927379616
212,MNT,LassoLarsCV,FunctionTransformer,True,True,1.736051305612995e-05,0.017276079419821788
213,MNT,LassoLarsCV,FunctionTransformer,True,False,1.1308105929802662e-05,0.1119425650985657
214,MNT,LassoLarsCV,FunctionTransformer,False,True,3.7474926826636245e-06,-0.009002488369414419
215,MNT,LassoLarsCV,FunctionTransformer,False,False,3.919743433184179e-06,-0.05538054714529039
216,MNT,LassoLarsIC,,True,True,1.7941678477177086e-05,-0.0987957226937688
217,MNT,LassoLarsIC,,True,False,1.8249409789121335e-05,0.06227658280659043
218,MNT,LassoLarsIC,,False,True,4.37551999731984e-06,-0.1748239912744316
